actor1,actor2,weight
Amber Rose Revah,Antonio De Lima,1
Antonio De Lima,Gina Gangar,1
Dylan O'Brien,Rachel McAdams,1
Edyll Ismail,Rachel McAdams,1
Dennis Haysbert,Rachel McAdams,1
Rachel McAdams,Xavier Samuel,1
Chris Pang,Rachel McAdams,1
Rachel McAdams,Thaneth Warakulnukroh,1
Emma Raimi,Rachel McAdams,1
Dylan O'Brien,Edyll Ismail,1
Dennis Haysbert,Dylan O'Brien,1
Dylan O'Brien,Xavier Samuel,1
Chris Pang,Dylan O'Brien,1
Dylan O'Brien,Thaneth Warakulnukroh,1
Dylan O'Brien,Emma Raimi,1
Dennis Haysbert,Edyll Ismail,1
Edyll Ismail,Xavier Samuel,1
Chris Pang,Edyll Ismail,1
Edyll Ismail,Thaneth Warakulnukroh,1
Edyll Ismail,Emma Raimi,1
Dennis Haysbert,Xavier Samuel,1
Chris Pang,Dennis Haysbert,1
Dennis Haysbert,Thaneth Warakulnukroh,1
Dennis Haysbert,Emma Raimi,1
Chris Pang,Xavier Samuel,1
Thaneth Warakulnukroh,Xavier Samuel,1
Emma Raimi,Xavier Samuel,1
Chris Pang,Thaneth Warakulnukroh,1
Chris Pang,Emma Raimi,1
Emma Raimi,Thaneth Warakulnukroh,1
Chad Michael Collins,Ryan Robbins,1
Chad Michael Collins,Manuel Rodriguez-Saenz,1
Chad Michael Collins,Josh Brener,1
Chad Michael Collins,Tom Berenger,1
Chad Michael Collins,Sizo Mahlangu,1
Chad Michael Collins,Masasa Mbangeni,1
Chad Michael Collins,Jason K. Ralph,1
Manuel Rodriguez-Saenz,Ryan Robbins,1
Josh Brener,Ryan Robbins,1
Ryan Robbins,Tom Berenger,1
Ryan Robbins,Sizo Mahlangu,1
Masasa Mbangeni,Ryan Robbins,1
Jason K. Ralph,Ryan Robbins,1
Josh Brener,Manuel Rodriguez-Saenz,1
Manuel Rodriguez-Saenz,Tom Berenger,1
Manuel Rodriguez-Saenz,Sizo Mahlangu,1
Manuel Rodriguez-Saenz,Masasa Mbangeni,1
Jason K. Ralph,Manuel Rodriguez-Saenz,1
Josh Brener,Tom Berenger,1
Josh Brener,Sizo Mahlangu,1
Josh Brener,Masasa Mbangeni,1
Jason K. Ralph,Josh Brener,1
Sizo Mahlangu,Tom Berenger,1
Masasa Mbangeni,Tom Berenger,1
Jason K. Ralph,Tom Berenger,1
Masasa Mbangeni,Sizo Mahlangu,1
Jason K. Ralph,Sizo Mahlangu,1
Jason K. Ralph,Masasa Mbangeni,1
Chris Hemsworth,Mark Ruffalo,6
Chris Hemsworth,Halle Berry,1
Barry Keoghan,Chris Hemsworth,1
Chris Hemsworth,Monica Barbaro,1
Chris Hemsworth,Nick Nolte,1
Chris Hemsworth,Corey Hawkins,1
Chris Hemsworth,Jennifer Jason Leigh,1
Halle Berry,Mark Ruffalo,1
Barry Keoghan,Mark Ruffalo,1
Mark Ruffalo,Monica Barbaro,1
Mark Ruffalo,Nick Nolte,1
Corey Hawkins,Mark Ruffalo,1
Jennifer Jason Leigh,Mark Ruffalo,1
Barry Keoghan,Halle Berry,1
Halle Berry,Monica Barbaro,1
Halle Berry,Nick Nolte,1
Corey Hawkins,Halle Berry,1
Halle Berry,Jennifer Jason Leigh,1
Barry Keoghan,Monica Barbaro,1
Barry Keoghan,Nick Nolte,1
Barry Keoghan,Corey Hawkins,1
Barry Keoghan,Jennifer Jason Leigh,1
Monica Barbaro,Nick Nolte,1
Corey Hawkins,Monica Barbaro,1
Jennifer Jason Leigh,Monica Barbaro,1
Corey Hawkins,Nick Nolte,1
Jennifer Jason Leigh,Nick Nolte,1
Corey Hawkins,Jennifer Jason Leigh,1
Jack Reynor,Laia Costa,1
Jack Reynor,May Calamawy,1
Jack Reynor,Natalie Grace,1
Jack Reynor,Shylo Molina,1
Billie Roy,Jack Reynor,1
Jack Reynor,Veronica Falcón,1
Hayat Kamille,Jack Reynor,1
Laia Costa,May Calamawy,1
Laia Costa,Natalie Grace,1
Laia Costa,Shylo Molina,1
Billie Roy,Laia Costa,1
Laia Costa,Veronica Falcón,1
Hayat Kamille,Laia Costa,1
May Calamawy,Natalie Grace,1
May Calamawy,Shylo Molina,1
Billie Roy,May Calamawy,1
May Calamawy,Veronica Falcón,1
Hayat Kamille,May Calamawy,1
Natalie Grace,Shylo Molina,1
Billie Roy,Natalie Grace,1
Natalie Grace,Veronica Falcón,1
Hayat Kamille,Natalie Grace,1
Billie Roy,Shylo Molina,1
Shylo Molina,Veronica Falcón,1
Hayat Kamille,Shylo Molina,1
Billie Roy,Veronica Falcón,1
Billie Roy,Hayat Kamille,1
Hayat Kamille,Veronica Falcón,1
Sigrid Alegría,Álvaro Rudolphy,1
Patricio Contreras,Álvaro Rudolphy,1
María Izquierdo,Álvaro Rudolphy,1
Boris Quercia,Álvaro Rudolphy,1
Cecilia Amenábar,Álvaro Rudolphy,1
Francisco Pérez-Bannen,Álvaro Rudolphy,1
Javiera Díaz de Valdés,Álvaro Rudolphy,1
Patricio Contreras,Sigrid Alegría,1
María Izquierdo,Sigrid Alegría,1
Boris Quercia,Sigrid Alegría,1
Cecilia Amenábar,Sigrid Alegría,1
Francisco Pérez-Bannen,Sigrid Alegría,1
Javiera Díaz de Valdés,Sigrid Alegría,1
María Izquierdo,Patricio Contreras,1
Boris Quercia,Patricio Contreras,1
Cecilia Amenábar,Patricio Contreras,1
Francisco Pérez-Bannen,Patricio Contreras,1
Javiera Díaz de Valdés,Patricio Contreras,1
Boris Quercia,María Izquierdo,1
Cecilia Amenábar,María Izquierdo,1
Francisco Pérez-Bannen,María Izquierdo,1
Javiera Díaz de Valdés,María Izquierdo,1
Boris Quercia,Cecilia Amenábar,1
Boris Quercia,Francisco Pérez-Bannen,1
Boris Quercia,Javiera Díaz de Valdés,1
Cecilia Amenábar,Francisco Pérez-Bannen,1
Cecilia Amenábar,Javiera Díaz de Valdés,1
Francisco Pérez-Bannen,Javiera Díaz de Valdés,1
Caleb McLaughlin,Gabrielle Union,1
Caleb McLaughlin,Stephen Curry,1
Aaron Pierre,Caleb McLaughlin,1
Caleb McLaughlin,Nicola Coughlan,1
Caleb McLaughlin,David Harbour,1
Caleb McLaughlin,Nick Kroll,1
Caleb McLaughlin,Jenifer Lewis,1
Gabrielle Union,Stephen Curry,1
Aaron Pierre,Gabrielle Union,1
Gabrielle Union,Nicola Coughlan,1
David Harbour,Gabrielle Union,1
Gabrielle Union,Nick Kroll,1
Gabrielle Union,Jenifer Lewis,1
Aaron Pierre,Stephen Curry,1
Nicola Coughlan,Stephen Curry,1
